transcript_id,CM_D18_R2,CM_D3_R2,CM_D0_R2,CM_D18_R1,CM_D3_R1,CM_D0_R1
ENST00000756430,2,0,0,0,0,0
ENST00000715285,15,0,0,32,0,0
ENST00000756453,9,7,0,28,7,14
ENST00000756436,13,4,0,16,6,0
ENST00000715286,58,30,0,0,14,0
ENST00000609207,13,109,6,0,2,0
ENST00000870725,589,671,1754,1362,1765,455
ENST00000870726,728,0,0,0,0,0
ENST00000934937,59,0,0,1,0,220
ENST00000870729,11,0,9,9,0,0
ENST00000934941,0,0,0,0,0,0
ENST00000483767,56,27,50,49,2,22
ENST00000968816,2,13,4,8,3,4
ENST00000477976,65,215,1614,52,88,520
ENST00000496938,1,2,2,0,0,0
ENST00000487214,2,1,0,2,3,0
ENST00000469563,1,4,1,4,1,2
MSTRG.45.1,77,96,22,46,0,130
ENST00000887516,47,193,2,8,68,0
ENST00000955597,1,0,0,0,0,0
ENST00000463212,4,10,0,1,10,2
MSTRG.45.11,13,8,0,0,0,0
ENST00000807417,8,12,4,19,3,6
ENST00000384997,1,3,0,2,0,0
ENST00000606993,4,25,4,25,0,2
ENST00000328596,0,0,0,0,6,0
ENST00000379268,0,19,0,0,0,0
ENST00000486728,0,0,0,0,4,0
ENST00000379265,0,0,0,0,0,0
MSTRG.60.3,6,11,0,51,71,11
ENST00000379289,0,0,0,0,0,0
ENST00000379290,0,0,0,0,0,0
ENST00000884039,0,0,0,0,0,0
ENST00000506177,0,0,0,0,0,0
ENST00000884040,0,0,0,0,0,0
ENST00000673999,0,0,0,0,0,0
ENST00000966235,0,0,0,0,0,0
ENST00000966236,0,0,0,0,0,0
ENST00000884041,0,0,0,0,0,0
ENST00000884042,0,0,0,0,0,0
ENST00000379288,0,0,0,0,0,0
ENST00000460998,0,0,0,0,0,0
ENST00000514695,0,1,0,1,0,0
ENST00000486379,0,4,0,0,0,0
ENST00000379317,11,0,0,37,0,0
ENST00000966237,24,6,0,27,5,0
ENST00000495576,0,0,0,0,0,0
ENST00000831081,0,3,1,0,2,0
ENST00000831082,0,0,0,0,0,0
ENST00000831083,0,0,0,0,0,0
ENST00000477740,0,0,0,0,0,0
ENST00000831742,0,0,0,0,0,0
ENST00000833190,0,2,0,2,0,1
ENST00000831744,0,0,0,0,0,0
ENST00000831084,0,0,0,0,0,0
ENST00000831085,0,0,0,0,0,0
ENST00000831087,0,0,0,0,0,0
ENST00000831086,0,0,0,0,0,0
ENST00000831088,0,0,0,0,0,0
ENST00000831090,0,0,0,0,0,0
ENST00000831091,0,0,0,0,0,0
ENST00000831092,0,0,0,0,0,0
ENST00000831093,0,0,0,0,0,0
ENST00000831094,0,0,0,0,0,0
ENST00000831095,0,0,0,0,0,0
ENST00000453576,0,0,0,0,0,0
ENST00000835176,0,0,0,0,0,0
ENST00000493797,0,0,0,0,0,0
ENST00000490997,0,0,0,0,0,0
ENST00000466557,0,0,0,0,0,0
ENST00000831096,0,0,0,0,0,0
ENST00000831097,0,0,0,0,0,0
ENST00000831098,0,0,3,2,1,10
ENST00000831100,0,0,0,0,0,0
ENST00000831099,0,0,0,0,0,0
ENST00000831101,0,0,0,0,0,0
ENST00000831102,0,0,0,0,0,0
ENST00000831103,0,0,0,0,0,0
ENST00000831104,0,0,0,0,0,0
ENST00000831107,0,2,0,0,0,1
ENST00000831106,0,0,0,0,0,0
ENST00000831108,0,0,0,0,0,0
ENST00000831109,0,0,0,0,0,0
ENST00000831111,0,0,0,0,0,0
ENST00000831105,0,0,0,0,0,0
ENST00000831113,0,0,0,0,0,4
ENST00000831110,0,0,0,0,0,0
ENST00000831114,0,0,0,0,0,0
ENST00000831115,0,0,0,0,0,0
ENST00000831116,0,1,1,0,1,0
ENST00000831118,0,0,0,0,0,0
ENST00000831120,0,0,0,0,0,0
ENST00000831121,0,0,0,0,0,0
ENST00000831122,0,0,0,0,0,0
ENST00000831123,0,0,6,3,2,0
ENST00000831124,0,0,0,0,0,0
ENST00000831125,0,0,0,0,0,0
ENST00000831126,0,0,0,0,0,0
ENST00000831127,0,0,0,0,0,0
ENST00000833856,0,0,0,0,0,0
ENST00000833857,0,0,0,0,0,0
ENST00000833858,0,0,0,0,0,0
ENST00000833859,0,0,0,0,0,0
ENST00000833860,0,0,0,0,0,0
ENST00000833861,0,0,0,0,0,0
ENST00000833862,0,0,0,0,0,0
ENST00000833863,0,0,0,0,0,0
ENST00000833867,0,0,0,0,0,0
ENST00000833864,0,0,0,0,0,0
ENST00000833865,0,0,0,0,0,0
ENST00000833866,0,0,0,0,0,0
ENST00000833868,0,0,0,0,0,0
ENST00000833869,0,0,0,0,0,0
ENST00000833871,0,0,0,0,0,0
ENST00000833870,0,2,0,3,0,0
ENST00000833872,0,0,0,0,0,0
ENST00000833873,0,0,0,0,0,0
ENST00000833874,0,0,0,0,0,0
ENST00000833875,0,0,2,0,5,0
ENST00000833876,0,0,0,0,0,0
ENST00000833877,0,0,0,0,0,0
ENST00000831131,0,0,1,0,2,3
ENST00000833879,0,0,0,0,0,0
ENST00000833885,0,0,0,0,0,0
ENST00000833878,0,0,0,0,0,0
ENST00000833880,0,0,0,0,0,0
ENST00000833881,0,0,0,0,0,0
ENST00000833884,0,0,0,0,0,0
ENST00000833882,0,0,0,0,0,0
ENST00000833883,0,0,0,0,0,0
ENST00000833886,0,0,0,0,0,0
ENST00000833887,0,0,0,0,0,0
ENST00000833889,0,0,0,0,0,0
ENST00000833888,0,0,0,0,0,0
ENST00000833890,0,2,4,0,0,0
ENST00000833891,0,0,0,0,0,0
ENST00000833892,0,0,0,0,0,0
ENST00000833894,0,0,0,0,0,0
ENST00000833893,0,0,0,0,0,0
ENST00000833895,0,0,0,0,0,0
ENST00000833896,0,0,0,0,0,0
ENST00000833897,0,0,0,0,0,0
ENST00000624431,0,0,0,0,0,0
ENST00000831159,0,0,0,0,0,0
ENST00000831138,0,38,0,0,0,0
ENST00000831142,0,0,0,0,0,0
ENST00000831143,0,0,0,0,0,53
ENST00000831147,0,0,0,0,0,0
ENST00000831148,0,0,0,0,0,0
ENST00000831149,0,0,0,0,0,0
ENST00000831151,0,0,0,0,0,0
ENST00000831153,0,0,0,0,0,0
ENST00000831155,0,0,0,0,0,14
ENST00000831156,0,0,0,0,2,0
ENST00000831164,0,0,0,0,0,0
ENST00000831166,0,0,0,6,0,0
ENST00000831167,0,0,0,0,107,0
ENST00000831168,0,0,0,0,0,0
ENST00000831169,0,0,0,0,0,0
ENST00000831174,0,0,0,0,0,0
ENST00000831175,0,0,0,0,0,0
ENST00000831273,0,0,0,0,0,0
ENST00000831176,0,0,0,0,0,0
ENST00000831178,0,0,0,0,0,0
ENST00000831192,0,0,0,0,100,0
ENST00000831679,0,0,0,0,0,0
ENST00000831144,0,0,0,0,0,0
ENST00000831150,0,0,0,0,0,0
ENST00000831152,0,0,0,0,0,0
ENST00000831160,0,0,0,57,31,10
ENST00000831162,0,0,0,0,0,0
ENST00000831163,0,0,0,0,0,0
ENST00000831171,0,0,0,0,0,0
ENST00000831179,0,0,0,0,0,0
ENST00000831180,0,0,0,0,0,0
ENST00000831181,0,0,0,0,0,0
ENST00000831182,0,0,0,0,0,0
ENST00000831183,0,0,0,0,0,0
