gene_id,SRR35049344,SRR35049350,SRR35049353,SRR35049354,SRR35049360,SRR35049363
ENSG00000162426|SLC45A1,57,8,32,25,2,27
ENSG00000252254|Y_RNA,0,0,0,0,0,0
MSTRG.239|ERRFI1-DT,27,10,8,16,26,11
MSTRG.240|RPL7AP18,0,0,2,0,0,0
MSTRG.241,0,0,0,0,0,0
MSTRG.239|LINC01714,0,0,0,2,0,0
MSTRG.242,0,0,0,0,0,0
MSTRG.243,0,0,0,0,0,0
MSTRG.244|RNU1-7P,0,0,0,0,0,0
MSTRG.259,100,38,73,44,56,103
MSTRG.260,0,0,0,0,0,0
MSTRG.261,0,0,0,0,0,0
ENSG00000131686|CA6,0,0,0,0,0,0
ENSG00000290109,0,0,0,0,0,0
MSTRG.258|HMGN2P17,1,0,4,3,1,1
ENSG00000142583|SLC2A5,0,0,0,0,0,0
ENSG00000252404,0,0,0,0,0,0
MSTRG.264|GPR157,107,52,13,505,336,305
MSTRG.264,118,197,248,0,0,0
MSTRG.265|MIR34AHG,286,753,78,163,161,379
MSTRG.271|LNCTAM34A,68,139,16,56,13,54
MSTRG.271,0,0,0,0,0,0
MSTRG.272,0,0,0,0,0,0
MSTRG.265|MIR34A,1,1,0,1,1,1
MSTRG.266,40,25,2,13,8,9
MSTRG.267,27,70,6,20,8,36
MSTRG.268,6,28,5,0,4,6
MSTRG.269,3,28,4,8,1,19
MSTRG.270,50,44,7,18,8,14
MSTRG.245|RERE,5502,1399,1774,3385,2432,3305
MSTRG.246|RERE-AS1,8,14,0,9,9,0
MSTRG.247,0,2,2,0,0,0
MSTRG.255|RPL23AP19,0,0,0,0,0,0
MSTRG.256|ENO1,17823,17317,49482,16904,25198,24133
MSTRG.256|MIR6728,0,7,4,0,1,6
MSTRG.257|ENO1-AS1,7,11,6,8,11,19
MSTRG.245,1339,2515,2441,2379,1384,886
MSTRG.248,7,0,2,6,0,1
MSTRG.249|RPL7P11,9,4,0,0,0,21
MSTRG.250|RPL7P7,8,7,0,16,2,0
MSTRG.251,5,2,2,7,3,2
MSTRG.252|Y_RNA,5,3,0,0,1,1
MSTRG.253,6,2,0,0,0,3
MSTRG.254,9,10,0,2,2,4
MSTRG.275|SPSB1,178,425,154,216,652,265
MSTRG.276,0,0,0,0,0,0
ENSG00000284693|LINC02606,62,14,7,45,4,22
ENSG00000252956|RNA5SP40,0,0,0,0,0,0
ENSG00000301013,0,0,0,0,0,0
ENSG00000301030,0,0,0,0,0,0
MSTRG.273|H6PD,4007,1570,671,6359,2731,33
MSTRG.274,22,18,2,20,0,5
MSTRG.273,1937,1271,451,1178,639,1195
MSTRG.277|SLC25A33,228,420,926,451,719,895
MSTRG.277,191,276,68,0,0,212
MSTRG.278,6,6,8,16,3,22
MSTRG.279|TMEM201,799,569,1320,729,554,1026
MSTRG.280|PIK3CD,591,1116,1008,558,1020,517
MSTRG.281|PIK3CD-AS1,0,0,0,0,0,0
MSTRG.282,0,0,0,0,0,0
MSTRG.284,0,0,0,0,0,0
MSTRG.283|PIK3CD-AS2,56,55,41,99,71,111
MSTRG.280,8,3,4,304,279,491
MSTRG.285|CLSTN1,4396,612,2649,3705,697,817
MSTRG.286|MZT1P1,0,0,0,0,0,0
MSTRG.285,4617,1723,2271,4540,4080,2816
ENSG00000280113,2,7,0,0,0,0
MSTRG.287|CTNNBIP1,2490,2298,1894,3022,3487,2913
MSTRG.288|CTNNBIP1-AS1,0,0,0,0,0,0
MSTRG.289,11,13,16,11,20,22
MSTRG.290,4,23,15,0,11,36
MSTRG.291|LZIC,2368,1024,1575,2071,1229,1569
MSTRG.292|NMNAT1,357,182,127,497,237,9
MSTRG.292,0,0,102,0,0,244
MSTRG.295|MIR5697,0,1,0,0,0,1
MSTRG.296,0,2,0,1,14,0
MSTRG.297|RBP7,16,0,10,2,32,40
MSTRG.297,0,0,34,0,0,0
MSTRG.293,2,12,4,5,19,10
MSTRG.292|RN7SKP269,3,3,1,0,1,2
MSTRG.294|TMEM274P,2,7,3,3,8,7
MSTRG.298|UBE4B,3513,4582,5317,3942,3508,3280
MSTRG.299|RPL21P21,2,6,7,0,3,2
MSTRG.300|PGAM1P11,8,16,5,0,8,0
MSTRG.301|RNU6-828P,1,2,0,0,2,2
MSTRG.302|KIF1B,11309,5804,6344,6235,4976,4363
MSTRG.302,1025,0,1141,1116,587,475
MSTRG.303,2,1,2,0,0,0
MSTRG.304|RNU6-37P,17,13,15,11,30,14
MSTRG.302|RN7SL731P,1,3,2,3,1,1
MSTRG.305,69,46,11,29,0,23
MSTRG.306,68,34,16,27,18,10
MSTRG.309,0,1,3,0,0,4
MSTRG.310|CENPS-CORT,0,0,19,0,8,0
MSTRG.310|CENPS,372,175,327,433,241,461
MSTRG.310,36,0,0,0,44,0
MSTRG.310|CORT,11,36,16,29,6,22
ENSG00000284642,48,30,29,27,10,22
MSTRG.308|PGD,5604,3042,7917,5694,4584,5788
MSTRG.307,59,10,0,11,18,4
MSTRG.308,99,57,205,147,92,191
ENSG00000215785|CFL1P6,0,0,0,0,0,0
MSTRG.314,0,0,0,0,0,0
MSTRG.313|DFFA,3245,3103,5512,3503,5596,5979
MSTRG.315|PEX14,652,491,598,635,602,649
MSTRG.316,0,0,0,0,0,7
MSTRG.311,31,42,72,23,35,47
MSTRG.312,1,3,1,0,18,2
MSTRG.317,29,11,9,23,17,17
MSTRG.318|RN7SL614P,3,1,0,1,3,6
MSTRG.319|CASZ1,288,345,177,465,127,236
MSTRG.321,0,0,0,0,0,0
MSTRG.320,87,118,33,60,51,75
MSTRG.324|SRM,884,855,4696,1056,1073,6210
MSTRG.322|TARDBP,6783,4921,9404,4697,5101,6366
MSTRG.322,0,10,33,590,79,1
MSTRG.323|MASP2,27,31,64,12,26,67
MSTRG.325|EXOSC10-AS1,36,58,49,51,51,62
MSTRG.326|EXOSC10,1873,1584,2632,1743,1694,1588
MSTRG.333|UBIAD1,975,597,1327,824,656,1686
MSTRG.334|UBE2V2P3,0,7,5,6,6,4
MSTRG.335,19,0,0,4,0,0
ENSG00000302153,5,0,0,0,0,0
ENSG00000302176,4,0,0,0,0,0
MSTRG.336,44,0,0,0,0,0
MSTRG.337,62,0,0,2,0,0
MSTRG.327|MTOR,4431,5504,6913,4179,4020,3403
MSTRG.328|MTOR-AS1,3,5,7,0,0,4
MSTRG.329|RNU6-537P,0,1,0,0,0,0
MSTRG.330|ANGPTL7,12,8,2,8,12,27
MSTRG.331|RNU6-291P,3,1,2,0,0,0
MSTRG.332|RPL39P6,1,2,4,2,0,6
ENSG00000235643|LINC01647,0,0,0,0,0,3
MSTRG.338|DISP3,869,134,58,120,77,161
MSTRG.339,0,0,0,0,0,0
MSTRG.340,0,17,19,12,10,15
MSTRG.341,0,0,51,0,5,8
MSTRG.341|FBXO2,426,618,610,1239,541,572
MSTRG.342|FBXO44,281,260,328,680,316,477
MSTRG.343|MAD2L2,1372,1049,3962,1308,918,5291
