gene_id,CM_D0_R1,CM_D0_R2,CM_D18_R1,CM_D18_R2,CM_D3_R1,CM_D3_R2
ENSG00000175262.15|C1orf127,6,29,7,5,0,6
ENSG00000215785.2|CFL1P6,0,2,0,0,0,0
MSTRG.282|TARDBP,14095,8759,5295,4679,5781,9487
MSTRG.282,103,213,42,2005,228,285
MSTRG.283|MASP2,31,47,58,35,58,252
MSTRG.279|EXOSC10,3069,2838,1554,1900,1790,3125
MSTRG.278|SRM,6307,3870,979,862,1532,1586
MSTRG.277,7,2,3,11,17,0
MSTRG.279,97,77,326,134,321,308
MSTRG.280|ENSG00000226849,4,0,75,15,78,48
MSTRG.281|EXOSC10-AS1,18,10,4,7,27,37
ENSG00000235643.2|LINC01647,3,0,0,0,0,0
MSTRG.306,0,3,0,0,7,262
MSTRG.307|ENSG00000285833,0,0,0,0,0,0
MSTRG.306|DISP3,403,227,225,180,243,316
MSTRG.300|MTOR,6750,6268,3335,3207,5569,2392
MSTRG.300,2077,1931,824,1523,0,3216
MSTRG.301|MTOR-AS1,0,3,9,0,0,0
MSTRG.303|ANGPTL7,18,3,68,7,17,0
MSTRG.304|RNU6-291P,0,0,2,0,3,1
MSTRG.298|UBIAD1,1787,1601,613,893,729,845
ENSG00000284646.1|ENSG00000284646,0,2,0,0,0,0
MSTRG.302|RNU6-537P,1,1,0,0,0,0
MSTRG.305|RPL39P6,1,2,1,3,5,0
MSTRG.299|UBE2V2P3,10,0,4,6,16,17
MSTRG.297,5,13,6,4,21,5
MSTRG.316|ENSG00000285646,47,45,41,40,107,67
MSTRG.316|RNU5E-1,12,10,4,3,30,17
MSTRG.317|RNU5E-4P,5,6,3,5,22,6
MSTRG.310|FBXO2,843,1430,93,512,174,1050
MSTRG.311,0,16,49,59,4,100
MSTRG.311|FBXO44,812,815,502,862,292,680
MSTRG.312|MAD2L2,4746,4105,709,1186,1083,2307
MSTRG.313|FBXO6,15,28,77,162,28,23
MSTRG.308|AGTRAP,1303,1230,176,474,495,723
MSTRG.308,438,909,294,429,270,952
MSTRG.321|C1orf167,7,45,4,8,9,35
MSTRG.322|C1orf167-AS1,0,0,0,0,0,0
MSTRG.323|MTHFR,60,89,371,93,287,88
MSTRG.324|CLCN6,887,701,374,986,383,247
MSTRG.325|NPPA,9,0,279,799,10,9
MSTRG.309|ENSG00000284708,8,9,0,24,0,34
MSTRG.314,2,0,4,4,0,18
MSTRG.312,3312,4175,120,196,292,836
MSTRG.315|DRAXIN,3416,1133,79,185,520,680
MSTRG.323,1497,1470,1623,2515,968,1304
MSTRG.324,691,475,1804,692,811,1424
MSTRG.324|ENSG00000276470,1,1,1,0,1,1
MSTRG.324|ENSG00000278852,1,1,1,0,1,1
MSTRG.324|ENSG00000275915,1,1,1,1,1,1
ENSG00000028137.19|TNFRSF1B,97,70,23,110,0,62
ENSG00000263676.1|MIR4632,0,0,0,0,0,0
ENSG00000283789.1|MIR7846,1,1,0,0,0,0
